first_name;last_name;birth_date;phone_no
Stefan;Testowy;1988.11.11;600700800
Maria;Ziółko;1999.1.1;955666777;
;;;
Jolanta;Magia;2000.02.04;666000111

 marian;kowalewski;1950.10.01;670540120
;;;
Zygmunt;	Stefanowicz;1991.06.01;-
Ernest;Gąbka;1991.06.01;
Elżbieta;Żółw;1988.03.03;670540120
;Tralala;2001.6.5;
Stefan;Testowy;1988.10.09;545700800

Maria;Ziółkowska;1998.1.11;955662377;
Stefanek;Testuje;1988.12.11;601700800
Marianna ;Ziółko;1999.1.12;955666788;

  stefanek;Gromowy;1984.11.11;610700800
Anna;Ciółko;1999.5.1;955656777;
Bolek;Testowy;1923.11.11;622700800
Marta;Siółko;1999.1.7;900666777;

Antek;Testowski;1966.2.11;600760800
Halina;Iksinska;2001.4.12;555666773;
Andrzej;Testowy;1988.3.3;60070802
Natalia;Kowal;1999.2.6;9563457277;
norbert;Nowak;1988.02.08;607000823
   Ewa;Najsztub;1999.4.22;955644658;
